,pca_n_components,shape,accuracy,precision,f1_score,cumsum
0,1,"(1400, 1)",0.265,0.265,0.265,[0.08384237]
1,2,"(1400, 2)",0.2733333333333333,0.2733333333333333,0.2733333333333333,[0.08383816 0.16577419]
2,3,"(1400, 3)",0.31166666666666665,0.31166666666666665,0.31166666666666665,[0.08376116 0.16591708 0.24231732]
3,4,"(1400, 4)",0.31666666666666665,0.31666666666666665,0.31666666666666665,[0.08378686 0.1659751  0.24226709 0.31519499]
4,5,"(1400, 5)",0.38666666666666666,0.38666666666666666,0.38666666666666666,[0.08378256 0.16595688 0.24245432 0.31528535 0.3717431 ]
5,6,"(1400, 6)",0.4166666666666667,0.4166666666666667,0.4166666666666667,[0.08384748 0.16604246 0.24257097 0.3155722  0.37233081 0.42736242]
6,7,"(1400, 7)",0.42333333333333334,0.42333333333333334,0.42333333333333334,"[0.08384872 0.16604805 0.24257632 0.31557804 0.37233181 0.42735789
 0.48097307]"
7,8,"(1400, 8)",0.43833333333333335,0.43833333333333335,0.43833333333333335,"[0.08384864 0.16604807 0.2425769  0.3155775  0.37234237 0.4273745
 0.48102203 0.53313439]"
8,9,"(1400, 9)",0.445,0.445,0.445,"[0.08384894 0.16604819 0.24257682 0.31557865 0.37234954 0.42737242
 0.48101649 0.53313159 0.58437898]"
9,10,"(1400, 10)",0.45166666666666666,0.45166666666666666,0.45166666666666666,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978]"
10,11,"(1400, 11)",0.45166666666666666,0.45166666666666666,0.45166666666666666,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841]"
11,12,"(1400, 12)",0.4816666666666667,0.4816666666666667,0.4816666666666667,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586]"
12,13,"(1400, 13)",0.5566666666666666,0.5566666666666666,0.5566666666666666,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556]"
13,14,"(1400, 14)",0.6966666666666667,0.6966666666666667,0.6966666666666667,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033]"
14,15,"(1400, 15)",0.8416666666666667,0.8416666666666667,0.8416666666666667,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973]"
15,16,"(1400, 16)",0.9516666666666667,0.9516666666666667,0.9516666666666667,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973 0.91260393]"
16,17,"(1400, 17)",0.9633333333333334,0.9633333333333334,0.9633333333333334,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973 0.91260393 0.93787074]"
17,18,"(1400, 18)",0.9616666666666667,0.9616666666666667,0.9616666666666667,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973 0.91260393 0.93787074 0.96212029]"
18,19,"(1400, 19)",0.9633333333333334,0.9633333333333334,0.9633333333333334,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973 0.91260393 0.93787074 0.96212029
 0.98249374]"
19,20,"(1400, 20)",0.9533333333333334,0.9533333333333334,0.9533333333333334,"[0.08384907 0.16604896 0.24257779 0.31558048 0.3723523  0.42738449
 0.48103288 0.53314818 0.58439607 0.63362978 0.68236841 0.73084586
 0.77803556 0.82446033 0.86912973 0.91260393 0.93787074 0.96212029
 0.98249374 1.        ]"
